name,edition_year,description,start_date,end_date,duration_days,duration_iso,venue,city,country_fr,organizer,funder,keywords_list,capacity_clean,languages_list,url,year_group
Festival de Cannes,2025,"Rendez-vous majeur du cinéma mondial, le Festival de Cannes combine compétition officielle, marché du film et circulation internationale des œuvres.",2025-05-13,2025-05-24,12,P12D,Palais des Festivals et des Congrès,Cannes,France,Festival de Cannes,Ville de Cannes,cinéma | compétition | auteur | tapis rouge,,"fr,en",https://www.festival-cannes.com/,2025
Glastonbury Festival,2025,"Festival pluridisciplinaire organisé à Worthy Farm, Glastonbury réunit musique, arts de scène, camping et logique caritative.",2025-06-25,2025-06-29,5,P5D,Worthy Farm,Pilton,Royaume-Uni,Glastonbury Festivals Ltd,Non renseigné,music | arts | camping | charity,,en,https://www.glastonburyfestivals.co.uk/,2025
Montreux Jazz Festival,2025,"Installé sur les rives du Léman, le Montreux Jazz Festival dépasse le seul jazz et programme aussi pop, soul, électronique et rencontres professionnelles.",2025-07-04,2025-07-19,16,P16D,Venues du lac et Place du Marché,Montreux,Suisse,Fondation du Festival de Jazz de Montreux,Non renseigné,jazz | lakefront | live | music industry,,"fr,en",https://www.montreuxjazzfestival.com/,2025
Festival d'Avignon,2025,"Grand temps fort du spectacle vivant en France, le Festival d'Avignon articule théâtre, danse, performance et création contemporaine dans toute la ville.",2025-07-05,2025-07-26,22,P22D,Palais des Papes et lieux du festival,Avignon,France,Festival d'Avignon,Ministère de la Culture,théâtre | danse | performance | création contemporaine,,"fr,en",https://festival-avignon.com/,2025
Hellfest,2026,"Festival de musiques metal et hard rock organisé à Clisson, Hellfest rassemble une programmation internationale sur plusieurs scènes en plein air.",2026-06-18,2026-06-21,4,P4D,Site du Hellfest,Clisson,France,Hellfest Productions,Non renseigné,metal | hard rock | extreme music | live,240000,"fr,en",https://hellfest.fr/,2026
Francofolies de La Rochelle,2026,"Festival consacré aux musiques francophones, les Francofolies articulent grandes scènes, découvertes d'artistes et actions d'éducation culturelle.",2026-07-10,2026-07-14,5,P5D,Esplanade Saint-Jean d'Acre et centre-ville,La Rochelle,France,Francofolies de La Rochelle,Non renseigné,chanson francophone | pop | live | francophonie,,fr,https://www.francofolies.fr/,2026
Jazz in Marciac,2026,"Festival d’été installé au cœur du Gers, Jazz in Marciac associe grands concerts sous chapiteau, village animé et transmission pédagogique.",2026-07-20,2026-08-05,17,P17D,Chapiteau et places du village,Marciac,France,Association Jazz in Marciac,Non renseigné,jazz | concerts | village | masterclasses,300000,"fr,en",https://www.jazzinmarciac.com/,2026
Festival Interceltique de Lorient,2026,"Grand événement dédié aux cultures celtiques, le festival combine concerts, bagadoù, danse, expositions et rencontres dans l'espace urbain.",2026-07-31,2026-08-09,10,P10D,Lorient et agglomération,Lorient,France,Festival Interceltique de Lorient,Ville de Lorient,cultures celtiques | bagad | musique | danse,950000,"fr,en,es",https://www.festival-interceltique.bzh/,2026
Sziget Festival (2026),2026,"Grand rendez-vous musical et artistique de Budapest, Sziget déploie concerts, arts visuels, installations immersives et vie de festival sur l’île d’Óbuda.",2026-08-05,2026-08-11,7,P7D,Óbudai-sziget,Budapest,Hongrie,Sziget Cultural Management,Non renseigné,music | arts | island festival | international | immersive,,"en,hu",https://szigetfestival.com/,2026
Edinburgh Festival Fringe,2026,"Le Fringe d'Édimbourg fonctionne en accès ouvert et agrège théâtre, humour, cabaret, danse et formes expérimentales dans toute la ville.",2026-08-07,2026-08-31,25,P25D,Multiple venues across the city,Edinburgh,Royaume-Uni,Edinburgh Festival Fringe Society,Non renseigné,theatre | comedy | performance | open access,,en,https://www.edfringe.com/,2026
