name,edition,description,start_date_display,start_date,end_date_display,end_date,duration_display,duration_iso,venue,city,country,organizer,funder,keywords,capacity,languages,url
Festival de Cannes,Edition 2025,"Rendez-vous majeur du cinéma mondial, le Festival de Cannes combine compétition officielle, marché du film et circulation internationale des œuvres.",13/05/2025,2025-05-13,24/05/2025,2025-05-24,12 jours,P12D,Palais des Festivals et des Congrès,Cannes,France,Festival de Cannes,Ville de Cannes,"cinéma, compétition, auteur, tapis rouge",Non renseignée,"fr,en",https://www.festival-cannes.com/
Glastonbury Festival,Edition 2025,"Festival pluridisciplinaire organisé à Worthy Farm, Glastonbury réunit musique, arts de scène, camping et logique caritative.",25/06/2025,2025-06-25,29/06/2025,2025-06-29,5 jours,P5D,Worthy Farm,Pilton,Royaume-Uni,Glastonbury Festivals Ltd,Non renseigné,"music, arts, camping, charity",Non renseignée,en,https://www.glastonburyfestivals.co.uk/
Montreux Jazz Festival,Edition 2025,"Installé sur les rives du Léman, le Montreux Jazz Festival dépasse le seul jazz et programme aussi pop, soul, électronique et rencontres professionnelles.",04/07/2025,2025-07-04,19/07/2025,2025-07-19,16 jours,P16D,Venues du lac et Place du Marché,Montreux,Suisse,Fondation du Festival de Jazz de Montreux,Non renseigné,"jazz, lakefront, live, music industry",Non renseignée,"fr,en",https://www.montreuxjazzfestival.com/
Festival d'Avignon,Edition 2025,"Grand temps fort du spectacle vivant en France, le Festival d'Avignon articule théâtre, danse, performance et création contemporaine dans toute la ville.",05/07/2025,2025-07-05,26/07/2025,2025-07-26,22 jours,P22D,Palais des Papes et lieux du festival,Avignon,France,Festival d'Avignon,Ministère de la Culture,"théâtre, danse, performance, création contemporaine",Non renseignée,"fr,en",https://festival-avignon.com/
Hellfest,Edition 2026,"Festival de musiques metal et hard rock organisé à Clisson, Hellfest rassemble une programmation internationale sur plusieurs scènes en plein air.",18/06/2026,2026-06-18,21/06/2026,2026-06-21,4 jours,P4D,Site du Hellfest,Clisson,France,Hellfest Productions,Non renseigné,"metal, hard rock, extreme music, live",240 000,"fr,en",https://hellfest.fr/
Francofolies de La Rochelle,Edition 2026,"Festival consacré aux musiques francophones, les Francofolies articulent grandes scènes, découvertes d'artistes et actions d'éducation culturelle.",10/07/2026,2026-07-10,14/07/2026,2026-07-14,5 jours,P5D,Esplanade Saint-Jean d'Acre et centre-ville,La Rochelle,France,Francofolies de La Rochelle,Non renseigné,"chanson francophone, pop, live, francophonie",Non renseignée,fr,https://www.francofolies.fr/
Jazz in Marciac,Edition 2026,"Festival d’été installé au cœur du Gers, Jazz in Marciac associe grands concerts sous chapiteau, village animé et transmission pédagogique.",20/07/2026,2026-07-20,05/08/2026,2026-08-05,17 jours,P17D,Chapiteau et places du village,Marciac,France,Association Jazz in Marciac,Non renseigné,"jazz, concerts, village, masterclasses",300 000,"fr,en",https://www.jazzinmarciac.com/
Festival Interceltique de Lorient,Edition 2026,"Grand événement dédié aux cultures celtiques, le festival combine concerts, bagadoù, danse, expositions et rencontres dans l'espace urbain.",31/07/2026,2026-07-31,09/08/2026,2026-08-09,10 jours,P10D,Lorient et agglomération,Lorient,France,Festival Interceltique de Lorient,Ville de Lorient,"cultures celtiques, bagad, musique, danse",950 000,"fr,en,es",https://www.festival-interceltique.bzh/
Sziget Festival (2026),Edition 2026,"Grand rendez-vous musical et artistique de Budapest, Sziget déploie concerts, arts visuels, installations immersives et vie de festival sur l’île d’Óbuda.",05/08/2026,2026-08-05,11/08/2026,2026-08-11,7 jours,P7D,Óbudai-sziget,Budapest,Hongrie,Sziget Cultural Management,Non renseigné,"music, arts, island festival, international, immersive",Non renseignée,"en,hu",https://szigetfestival.com/
Edinburgh Festival Fringe,Edition 2026,"Le Fringe d'Édimbourg fonctionne en accès ouvert et agrège théâtre, humour, cabaret, danse et formes expérimentales dans toute la ville.",07/08/2026,2026-08-07,31/08/2026,2026-08-31,25 jours,P25D,Multiple venues across the city,Edinburgh,Royaume-Uni,Edinburgh Festival Fringe Society,Non renseigné,"theatre, comedy, performance, open access",Non renseignée,en,https://www.edfringe.com/
