name,edition,description,start_date_display,start_date,end_date_display,end_date,duration_display,duration_iso,venue,city,country,organizer,funder,keywords,capacity,languages,url
 Festival de Cannes ,Edition 2025,"Rendez-vous majeur du cinéma mondial, le Festival de Cannes combine compétition officielle, marché du film et circulation internationale des œuvres.",13-05-2025,13/05/2025,24-05-2025,24/05/2025,12 jours ,P12D,Palais des Festivals et des Congrès,Cannes,France,Festival de cannes,Ville de Cannes,cinéma ; compétition ; auteur ; tapis rouge,NR,"fr, en",https://www.festival-cannes.com
Glastonbury Festival,2025,"Festival pluridisciplinaire organisé à Worthy Farm, Glastonbury réunit musique, arts de scène, camping et logique caritative.",2025/06/25,2025/06/25,2025/06/29,2025/06/29,5j,P05D,Worthy Farm,Pilton,UK,Glastonbury Festivals Ltd,n/a,music|arts|camping|charity,Non renseignée,en,https://www.glastonburyfestivals.co.uk/
Montreux Jazz Festival,Edition 2025," Installé sur les rives du Léman, le Montreux Jazz Festival dépasse le seul jazz et programme aussi pop, soul, électronique et rencontres professionnelles.",04/07/2025,2025-07-04,19/07/2025,2025-07-19,16 jours,P16D,Venues du Lac et place du marché,Montreux,Suisse,Fondation du Festival de Jazz de Montreux,,"jazz, lakefront, live, music industry",Non renseignée,FR/EN,https://www.montreuxjazzfestival.com/
festival d'avignon,Edition 2025,"Grand temps fort du spectacle vivant en France, le Festival d'Avignon articule théâtre, danse, performance et création contemporaine dans toute la ville.",05/07/25,2025.07.05,26/07/25,2025.07.26,22 jours,P22D,Palais des Papes et lieux du festival,Avignon,France ,Festival d'Avignon,Ministère de la Culture,"théâtre, spectacle vivant, création, IN",Non renseignée,"fr,en",https://festival-avignon.com/
Hellfest,edition 2025,"Festival de musiques metal et hard rock organisé à Clisson, Hellfest rassemble une programmation internationale sur plusieurs scènes en plein air.",18/06/2026,2026-06-18,21/06/2026,2026-06-21,4 jours,p4d,Site du Hellfest,Clisson,France,Hellfest Productions,Non renseignée,"metal, hard rock, extreme music, live",60 000,"fr,en",http://hellfest.fr/
Francofolies La Rochelle,Edition 2026,"Festival consacré aux musiques francophones, les Francofolies articulent grandes scènes, découvertes d'artistes et actions d'éducation culturelle.",10/07/2026,2026-07-10,14/07/2026,2026-07-14,5 jours,P5D,Sites du port et scènes urbaines,la rochelle,France,Association les Francofolies,Non renseigné,"chanson francophone, pop, live, francophonie",non renseigné,fr ; en,https://www.francofolies.fr/
Jazz in Marciac,Edition 2026,"Festival d’été installé au cœur du Gers, Jazz in Marciac associe grands concerts sous chapiteau, village animé et transmission pédagogique.",20/07/2026,2026-07-20,05/08/2026,2026-08-05,17 jours,P17D,Chapiteau et places du village,Marciac,France,Association Jazz in Marciac,Non renseigné,"jazz, concerts, village, masterclasses",300 000,"fr,en",https://www.jazzinmarciac.com/
Festival Interceltique de Lorient,Edition 2026,"Grand événement dédié aux cultures celtiques, le festival combine concerts, bagadoù, danse, expositions et rencontres dans l'espace urbain. ",31/07/2026,2026-07-31,09/08/2026,2026-08-09,10 jours,P10D, Quai et centre-ville ,Lorient ,France,Festival Interceltique de Lorient,Ville de Lorient,"cultures celtiques, bagad, musique, danse",950 000,"fr,en,es",https://www.festival-interceltique.bzh/
Sziget Festival (2026),Ed. 2026,"Grand rendez-vous musical et artistique de Budapest, Sziget déploie concerts, arts visuels, installations immersives et vie de festival sur l’île d’Óbuda.",10 août 2026,2026-08-10 ,15 août 2026,2026-08-15 ,6 days,P6D ,Óbudai-sziget,Budapest / Óbuda,Hongrie/Hungary,Sziget Cultural Management,Unknown,"music, island, youth culture, europe ",95000,"en, hu",https://szigetfestival.com/
Edinburgh festival fringe ,Edition 2026,"Le Fringe d'Édimbourg fonctionne en accès ouvert et agrège théâtre, humour, cabaret, danse et formes expérimentales dans toute la ville.",07/08/2026,2026-08-07,31/08/2026,2026-08-31,25 jours,P25D,Multiple venues across the city,Edinburgh,Royaume Uni,Society of Scottish Arts,Non renseigné,theatre ; comedy ; street arts ; international,unknown,en ,www.edfringe.com
